S.No,HEAs,Phase,Phase_inshort,AM,IM,SS,BCC1,FCC1,BCC2,FCC2,IM_or_Not,Data From
0,SrCaYbLi0.55Mg0.45Zn,AM,AM,1,0,0,0,0,0,0,NOT IM,Zhou_2019
1,Cu0.5NiAlCoCrFeSi,AM,AM,1,0,0,0,0,0,0,NOT IM,Zhou_2019
2,ZrTiVCuNiBe,IM,IM,0,1,0,0,0,0,0,IM,Sheng_2011
3,CoFeSiB,AM,AM,1,0,0,0,0,0,0,NOT IM,Zhou_2019
4,Al0.25CoCrCu0.75FeNi,FCC,SS,0,0,0,0,1,0,0,NOT IM,Miracle_2017
5,CdIn3Na2,IM,IM,0,1,0,0,0,0,0,IM,Zhou_2019
6,Y36Sc20Al24Co20,AM,AM,1,0,0,0,0,0,0,NOT IM,Zhou_2019
7,Co1.5Cr0.5FeMn0.5Ni,FCC,SS,0,0,0,0,1,0,0,NOT IM,Zhou_2019
8,CuGeLi2,IM,IM,0,1,0,0,0,0,0,IM,Zhou_2019
9,CrNbTiZr ,BCC+Laves,IM+SS,0,1,0,1,0,0,0,IM,Zhou_2019
10,TiZrNbMo,BCC,SS,0,0,0,1,0,0,0,NOT IM,Zhou_2019
11,Al16Ru8Ti6,IM,IM,0,1,0,0,0,0,0,IM,Zhou_2019
12,Au52Pd2.3Cu29.2Si16.5,AM,AM,1,0,0,0,0,0,0,NOT IM,Zhou_2019
13,Cu43Zr43Al7Ag7,AM,AM,1,0,0,0,0,0,0,NOT IM,Zhou_2019
14,Ti50Ni20Cu25Sn3Be7,AM,AM,1,0,0,0,0,0,0,NOT IM,Zhou_2019
15,CuMgSb,IM,IM,0,1,0,0,0,0,0,IM,Zhou_2019
16,La55Al25Ni20,AM,AM,1,0,0,0,0,0,0,NOT IM,Zhou_2019
17,Ce60Al10Ni10Cu20,AM,AM,1,0,0,0,0,0,0,NOT IM,Zhou_2019
18,Nd60Al10Ni10Cu10Fe10,AM,AM,1,0,0,0,0,0,0,NOT IM,Zhou_2019
19,Mg65Cu15Ag5Pd5Gd10,AM,AM,1,0,0,0,0,0,0,NOT IM,Zhou_2019
20,SrCaYbMgZn,AM,AM,1,0,0,0,0,0,0,NOT IM,Zhou_2019
21,ZrHfTiAlCuNi,IM+SS,IM+SS,0,1,1,0,0,0,0,IM,Zhou_2019
22,AlCrMoTaTiZr,AM,AM,1,0,0,0,0,0,0,NOT IM,Zhou_2019
23,NbMoTaW,BCC,SS,0,0,0,1,0,0,0,NOT IM,Zhou_2019
24,BiCuMg,IM,IM,0,1,0,0,0,0,0,IM,Zhou_2019
